"マーケット","注文方法","取引種別","価格","数量","取引手数料","ボーナス円","日時","コメント"
"xem_jpy","指値","bid","3.85","25974","0",,"2025-01-13 19:45:39.016041",
"xem_jpy","指値","bid","3.845","26007.8","0",,"2025-01-13 19:51:18.748450",
"xem_jpy","指値","bid","3.841","6840","0",,"2025-01-13 20:27:45.171117",
"xem_jpy","指値","bid","3.841","10000","0",,"2025-01-13 20:34:29.294194",
"xem_jpy","指値","bid","3.841","4000","0",,"2025-01-13 20:39:03.383107",
"xem_jpy","指値","bid","3.841","3000","0",,"2025-01-13 20:39:04.011242",
"xem_jpy","指値","bid","3.841","0.1","0",,"2025-01-13 20:42:24.386322",
"xem_jpy","指値","bid","3.841","0.1","0",,"2025-01-13 20:53:01.472439",
"xem_jpy","指値","bid","3.841","6670","0",,"2025-01-13 20:57:49.437908",
"xem_jpy","指値","bid","3.841","20110","0",,"2025-01-13 20:58:28.208066",
"xem_jpy","指値","bid","3.841","1449.5","0",,"2025-01-13 20:58:36.900040",
"xem_jpy","指値","ask","4.05","1075.3","0",,"2025-01-14 18:37:30.686711",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:31.234151",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:31.788201",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:32.233783",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:32.688405",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:33.759206",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:34.203985",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:39.143083",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:39.590319",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:40.054061",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:41.140042",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:41.553728",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:42.366589",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:42.711442",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:53.826579",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:54.256962",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:54.738891",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:55.140919",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:55.726527",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:56.185843",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:56.759007",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:57.225902",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:37:57.676320",
"xem_jpy","指値","ask","4.05","3000","0",,"2025-01-14 18:38:04.058545",
"xem_jpy","指値","ask","4.05","1396","0",,"2025-01-14 18:39:49.094508",
"xem_jpy","指値","ask","4.05","1396","0",,"2025-01-14 18:39:49.640858",
"xem_jpy","指値","ask","4.05","25","0",,"2025-01-14 18:42:56.240960",
"xem_jpy","指値","ask","4.05","19952","0",,"2025-01-14 18:45:32.976060",
"xem_jpy","指値","ask","4.05","11207.2","0",,"2025-01-14 18:45:37.535458",
"xem_jpy","指値","bid","3.75","12596","0",,"2025-01-19 20:43:23.246419",
"xem_jpy","指値","bid","3.75","2000","0",,"2025-01-19 20:43:32.735173",
"xem_jpy","指値","bid","3.75","2000","0",,"2025-01-19 20:43:41.037330",
"xem_jpy","指値","bid","3.75","8100","0",,"2025-01-19 20:43:49.338298",
"xem_jpy","指値","bid","3.75","14712","0",,"2025-01-19 20:45:26.646789",
"xem_jpy","指値","bid","3.75","12531","0",,"2025-01-19 20:45:34.982687",
"xem_jpy","指値","bid","3.75","22467","0",,"2025-01-19 20:45:48.137549",
"xem_jpy","指値","bid","3.75","12536","0",,"2025-01-19 20:45:48.466654",
"xem_jpy","指値","bid","3.75","6258","0",,"2025-01-19 20:45:55.126786",
"xem_jpy","指値","bid","3.75","6800","0",,"2025-01-19 20:45:56.773871",
"xem_jpy","指値","bid","3.71","12835","0",,"2025-01-20 07:48:19.220479",
"xem_jpy","指値","bid","3.71","87165","0",,"2025-01-20 07:50:58.022097",
"xem_jpy","指値","bid","3.65","12112","0",,"2025-01-20 09:59:27.392203",
"xem_jpy","指値","bid","3.65","2000","0",,"2025-01-20 09:59:30.960790",
"xem_jpy","指値","bid","3.65","3772","0",,"2025-01-20 09:59:44.501892",
"xem_jpy","指値","bid","3.65","2000","0",,"2025-01-20 09:59:52.813158",
"xem_jpy","指値","bid","3.65","2519","0",,"2025-01-20 10:00:01.139125",
"xem_jpy","指値","bid","3.65","20198","0",,"2025-01-20 10:01:31.259239",
"xem_jpy","指値","bid","3.65","20198","0",,"2025-01-20 10:01:38.319479",
"xem_jpy","指値","bid","3.65","20264","0",,"2025-01-20 10:05:45.350342",
"xem_jpy","指値","bid","3.65","4212","0",,"2025-01-20 10:05:55.696012",
"xem_jpy","指値","bid","3.65","2000","0",,"2025-01-20 10:06:04.359439",
"xem_jpy","指値","bid","3.65","0.1","0",,"2025-01-20 10:23:41.678239",
"xem_jpy","指値","bid","3.65","6526","0",,"2025-01-20 10:26:05.115691",
"xem_jpy","指値","bid","3.65","0.1","0",,"2025-01-20 10:27:02.746814",
"xem_jpy","指値","bid","3.68","3000","0",,"2025-01-21 09:05:38.556472",
"xem_jpy","指値","bid","3.6735","1839.9","0",,"2025-01-21 09:07:40.150973",
"xem_jpy","指値","bid","3.6735","1160.1","0",,"2025-01-21 09:07:48.558491",
"xem_jpy","指値","bid","3.66","4000","0",,"2025-01-21 09:26:06.478406",
